HAL_NAME, HAL_OWNER, HIDL, AIDL, AIDL_VERSION 
android.frameworks.displayservice,google,x,, 
android.frameworks.schedulerservice,google,x,, 
android.frameworks.sensorservice,google,x,x 
android.hidl.memory,google,x,, 
android.system.net.netd,google,x,x,"=""1""" 
android.system.wifi.keystore,google,x,, 
netutils-wrapper,qti,,, 
vendor.qti.hardware.qccsyshal,qti,x,, 
vendor.qti.hardware.radio.atcmdfwd,qti,x,x,"=""1""" 
vendor.qti.hardware.systemhelper,qti,x,, 
android.hardware.authsecret.qti.spu,google,,x,"=""1""" 
android.hardware.automotive.evs,google,x,x,"=""1-2""" 
android.hardware.gnss,google,x,x,"=""2-3""" 
android.hardware.graphics.allocator,google,,x,"=""1""" 
android.hardware.media.c2,google,x,, 
android.hardware.nfc,google,x,x,"=""1""" 
android.hardware.radio,google,x,, 
android.hardware.radio.config,google,x,x,"=""2""" 
android.hardware.tetheroffload,google,,x,"=""1""" 
android.hardware.wifi.supplicant,google,x,x,"=""2""" 
android.se.omapi,google,,x,"=""1""" 
com.dsi.ant,qti,x,, 
com.qualcomm.qti.dpm.api,qti,x,, 
com.qualcomm.qti.imscmservice,qti,x,, 
com.qualcomm.qti.uceservice,qti,x,, 
com.qualcomm.qti.wifidisplayhal,qti,x,, 
com.quicinc.cne.api,qti,x,, 
com.quicinc.cne.server,qti,x,, 
vendor.aks.gamepad,qti,x,, 
vendor.display.color,qti,x,, 
vendor.display.config,qti,x,, 
vendor.display.postproc,qti,x,, 
vendor.nxp.hardware.nfc,qti,x,, 
vendor.nxp.nxpnfc_aidl,qti,,x,"=""1""" 
vendor.nxp.nxpnfclegacy,qti,x,, 
vendor.qti.ImsRtpService,qti,,x,"=""1""" 
vendor.qti.automotive.qcarcam,qti,x,, 
vendor.qti.data.factory,qti,x,, 
vendor.qti.data.factoryservice,qti,,x,"=""1""" 
vendor.qti.data.txpwrservice,qti,,x,"=""1-6""" 
vendor.qti.diaghal,qti,x,, 
vendor.qti.esepowermanager,qti,x,, 
vendor.qti.gnss,qti,x,x,"=""1-4""" 
vendor.qti.hardware.AGMIPC,qti,x,, 
vendor.qti.hardware.ListenSoundModel,qti,x,, 
vendor.qti.hardware.alarm,qti,x,x,"=""1""" 
vendor.qti.hardware.audiohalext,qti,x,, 
vendor.qti.hardware.bluetooth.xpanprovider,qti,,x,"=""1""" 
vendor.qti.hardware.bluetooth_audio,qti,x,, 
vendor.qti.hardware.bluetooth_sar,qti,x,, 
vendor.qti.hardware.btconfigstore,qti,x,, 
vendor.qti.hardware.bttpi,qti,,x,"=""1-3""" 
vendor.qti.hardware.cacert,qti,x,, 
vendor.qti.hardware.cacertaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.camera.aon,qti,x,x,"=""1""" 
vendor.qti.hardware.camera.offlinecamera,qti,,x,"=""1""" 
vendor.qti.hardware.camera.postproc,qti,x,, 
vendor.qti.hardware.capabilityconfigstore,qti,x,, 
vendor.qti.hardware.cryptfshw,qti,x,, 
vendor.qti.hardware.cvp,qti,x,, 
vendor.qti.hardware.data.connection,qti,x,, 
vendor.qti.hardware.data.connectionaidl,qti,,x,"=""1""" 
vendor.qti.hardware.data.connectionfactory,qti,,x,"=""1""" 
vendor.qti.hardware.data.iwlan,qti,x,, 
vendor.qti.hardware.data.iwlandata,qti,,x,"=""1""" 
vendor.qti.hardware.data.latency,qti,x,, 
vendor.qti.hardware.debugutils,qti,x,x,"=""1""" 
vendor.qti.hardware.display.allocator,qti,x,, 
vendor.qti.hardware.display.color,qti,,x,"=""1""" 
vendor.qti.hardware.display.composer,qti,x,, 
vendor.qti.hardware.display.composer3,qti,,x,"=""1""" 
vendor.qti.hardware.display.config,qti,,x,"=""1-7""" 
vendor.qti.hardware.display.demura,qti,x,x,"=""1""" 
vendor.qti.hardware.display.mapper,qti,x,, 
vendor.qti.hardware.display.postproc,qti,,x,"=""1""" 
vendor.qti.hardware.dpmaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.dpmservice,qti,x,, 
vendor.qti.hardware.dsp,qti,x,, 
vendor.qti.hardware.eid,qti,x,, 
vendor.qti.hardware.embmssl,qti,x,x,"=""1""" 
vendor.qti.hardware.factory,qti,x,x,"=""1""" 
vendor.qti.hardware.fingerprint,qti,x,x,"=""1""" 
vendor.qti.hardware.fm,qti,x,, 
vendor.qti.hardware.fstman,qti,x,, 
vendor.qti.hardware.iop,qti,x,, 
vendor.qti.hardware.limits,qti,x,, 
vendor.qti.hardware.mwqemadapter,qti,x,, 
vendor.qti.hardware.mwqemadapteraidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.pal,qti,x,, 
vendor.qti.hardware.perf,qti,x,, 
vendor.qti.hardware.perf2,qti,,x,"=""1""" 
vendor.qti.hardware.power.powermodule,qti,x,x,"=""1""" 
vendor.qti.hardware.qccvndhal,qti,x,, 
vendor.qti.hardware.qconfig,qti,x,x,"=""1""" 
vendor.qti.hardware.qdutils_disp,qti,x,, 
vendor.qti.hardware.qseecom,qti,x,x,"=""1""" 
vendor.qti.hardware.qspa,qti,,x,"=""1""" 
vendor.qti.hardware.qteeconnector,qti,x,, 
vendor.qti.hardware.qxr,qti,,x,"=""1-2""" 
vendor.qti.hardware.radio.am,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.atfwd,qti,,x,"=""1""" 
vendor.qti.hardware.radio.ims,qti,x,x,"=""1-12""" 
vendor.qti.hardware.radio.internal.deviceinfo,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.lpa,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.qcrilhook,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.qtiradio,qti,x,x,"=""1-11""" 
vendor.qti.hardware.radio.qtiradioconfig,qti,,x,"=""1-4""" 
vendor.qti.hardware.radio.uim,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.uim_remote_client,qti,x,x,"=""1""" 
vendor.qti.hardware.radio.uim_remote_server,qti,x,x,"=""1""" 
vendor.qti.hardware.scve.objecttracker,qti,x,, 
vendor.qti.hardware.scve.panorama,qti,x,, 
vendor.qti.hardware.secureprocessor.device,qti,x,x,"=""1""" 
vendor.qti.hardware.sensorscalibrate,qti,x,x,"=""1""" 
vendor.qti.hardware.servicetracker,qti,x,, 
vendor.qti.hardware.servicetrackeraidl,qti,,x,"=""1""" 
vendor.qti.hardware.slmadapter,qti,x,, 
vendor.qti.hardware.soter,qti,x,x,"=""1""" 
vendor.qti.hardware.spu,qti,,x,"=""1""" 
vendor.qti.hardware.sxrhal,qti,x,, 
vendor.qti.hardware.trustedui,qti,x,x,"=""1""" 
vendor.qti.hardware.tui_comm,qti,x,, 
vendor.qti.hardware.vpp,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.hostapd,qti,x,, 
vendor.qti.hardware.wifi.supplicant,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.wificfr,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.wifilearner,qti,x,, 
vendor.qti.hardware.wifi.wifimyftm,qti,x,x,"=""1""" 
vendor.qti.hardware.wifidisplaysession,qti,x,, 
vendor.qti.hardware.wigig.netperftuner,qti,x,, 
vendor.qti.hardware.wigig.supptunnel,qti,x,, 
vendor.qti.hardware.wipower,qti,x,, 
vendor.qti.ims.callinfo,qti,x,, 
vendor.qti.ims.datachannelservice,qti,,x,"=""1""" 
vendor.qti.ims.factory,qti,x,, 
vendor.qti.ims.factoryaidlservice,qti,,x,"=""1""" 
vendor.qti.imsrtpservice,qti,x,, 
vendor.qti.memory.pasrmanager,qti,x,x,"=""1""" 
vendor.qti.mstatservice,qti,x,, 
vendor.qti.power.pasrmanager,qti,x,, 
vendor.qti.qccvndhal_aidl,qti,,x,"=""1""" 
vendor.qti.qesdhal,qti,x,, 
vendor.qti.qesdhalaidl,qti,,x,"=""1""" 
vendor.qti.qspmhal,qti,x,x,"=""1""" 
vendor.qti.qvirt,qti,,x,"=""1""" 
vendor.qti.spu,qti,x,, 
vendor.qti.voiceprint,qti,x,, 
android.hardware.audio,google,x,, 
android.hardware.audio.core,google,,x,"=""1""" 
android.hardware.audio.effect,google,x,x,"=""1""" 
android.hardware.audio.sounddose,google,,x,"=""1""" 
android.hardware.authsecret,google,,x,"=""1""" 
android.hardware.automotive.audiocontrol,google,,x,"=""2-3""" 
android.hardware.automotive.can,google,,x,"=""1""" 
android.hardware.automotive.ivn,google,,x,"=""1""" 
android.hardware.automotive.occupant_awareness,google,,x,"=""1""" 
android.hardware.automotive.remoteaccess,google,,x,"=""1""" 
android.hardware.automotive.vehicle,google,,x,"=""1-2""" 
android.hardware.biometrics.face,google,,x,"=""3""" 
android.hardware.biometrics.fingerprint,google,,x,"=""3""" 
android.hardware.bluetooth,google,x,x,"=""1""" 
android.hardware.bluetooth.audio,google,,x,"=""3""" 
android.hardware.boot,google,,x,"=""1""" 
android.hardware.broadcastradio,google,,x,"=""1""" 
android.hardware.camera.provider,google,,x,"=""1-2""" 
android.hardware.cas,google,,x,"=""1""" 
android.hardware.confirmationui,google,,x,"=""1""" 
android.hardware.contexthub,google,,x,"=""2""" 
android.hardware.drm,google,,x,"=""1""" 
android.hardware.dumpstate,google,,x,"=""1""" 
android.hardware.gatekeeper,google,,x,"=""1""" 
android.hardware.gnss.measurement_corrections,google,,x,"=""1""" 
android.hardware.gnss.visibility_control,google,,x,"=""1""" 
android.hardware.graphics.composer3,google,,x,"=""2""" 
android.hardware.graphics.mapper,google,x,, 
android.hardware.health,google,,x,"=""1-2""" 
android.hardware.health.storage,google,,x,"=""1""" 
android.hardware.identity,google,,x,"=""1-5""" 
android.hardware.input.processor,google,,x,"=""1""" 
android.hardware.ir,google,,x,"=""1""" 
android.hardware.light,google,,x,"=""2""" 
android.hardware.memtrack,google,,x,"=""1""" 
android.hardware.net.nlinterceptor,google,,x,"=""1""" 
android.hardware.neuralnetworks,google,,x,"=""1-4""" 
android.hardware.oemlock,google,,x,"=""1""" 
android.hardware.power,google,,x,"=""4""" 
android.hardware.power.stats,google,,x,"=""2""" 
android.hardware.radio.data,google,,x,"=""2""" 
android.hardware.radio.ims,google,,x,"=""1""" 
android.hardware.radio.ims.media,google,,x,"=""1""" 
android.hardware.radio.messaging,google,,x,"=""2""" 
android.hardware.radio.modem,google,,x,"=""2""" 
android.hardware.radio.network,google,,x,"=""2""" 
android.hardware.radio.sap,google,,x,"=""1""" 
android.hardware.radio.sim,google,,x,"=""2""" 
android.hardware.radio.voice,google,,x,"=""2""" 
android.hardware.rebootescrow,google,,x,"=""1""" 
android.hardware.renderscript,google,x,, 
android.hardware.secure_element,google,,x,"=""1""" 
android.hardware.security.keymint,google,,x,"=""1-3""" 
android.hardware.security.secureclock,google,,x,"=""1""" 
android.hardware.security.sharedsecret,google,,x,"=""1""" 
android.hardware.sensors,google,,x,"=""2""" 
android.hardware.soundtrigger,google,x,, 
android.hardware.soundtrigger3,google,,x,"=""1""" 
android.hardware.tetheroffload.config,google,x,, 
android.hardware.tetheroffload.control,google,x,, 
android.hardware.thermal,google,,x,"=""1""" 
android.hardware.tv.hdmi.cec,google,,x,"=""1""" 
android.hardware.tv.hdmi.connection,google,,x,"=""1""" 
android.hardware.tv.hdmi.earc,google,,x,"=""1""" 
android.hardware.tv.input,google,,x,"=""1""" 
android.hardware.tv.tuner,google,,x,"=""1-2""" 
android.hardware.usb,google,,x,"=""1-2""" 
android.hardware.usb.gadget,google,,x,"=""1""" 
android.hardware.uwb,google,,x,"=""1""" 
android.hardware.vibrator,google,,x,"=""1-2""" 
android.hardware.weaver,google,,x,"=""2""" 
android.hardware.wifi,google,,x,"=""1""" 
android.hardware.wifi.hostapd,google,,x,"=""1""" 
mapper,qti,,, 
android.frameworks.stats,google,,x,"=""2""" 
android.frameworks.location.altitude,google,,x,"=""1""" 
android.frameworks.cameraservice.service,google,x,x,"=""1""" 
android.system.suspend,google,,x,"=""1""" 
android.system.keystore2,google,,x,"=""3""" 
vendor.qti.data.mwqemaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.bluetooth.audio,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.api,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.constants,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.server,qti,,x,"=""1""" 
vendor.qti.hardware.data.dataactivity,qti,,x,"=""1""" 
vendor.qti.hardware.data.dynamicddsaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.flowaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.ka,qti,,x,"=""1""" 
vendor.qti.hardware.data.lceaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.qmiaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.debugutils_aidl,qti,,x,"=""1""" 
vendor.qti.hardware.embmsslaidl,qti,,x,"=""1""" 
vendor.qti.hardware.radio.common,qti,,x,"=""1""" 
vendor.qti.hardware.secureprocessor.common,qti,,x,"=""1""" 
vendor.qti.hardware.secureprocessor.config,qti,,x,"=""1""" 
vendor.qti.ims.callcapabilityaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.configaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.connectionaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.rcssipaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.rcsuceaidlservice,qti,,x,"=""1""" 
vendor.qti.latencyaidlservice,qti,,x,"=""1""" 
vendor.qti.qesdsys,qti,,x,"=""1-4""" 
